"task_model_1","task_model_2","similarity","category"
"Receive Application","Receive application","1.00","VB"
"Choose Master Program","Choose master program","1.00","VB"
"Complete and Send Application Form Online","Fill out application form online","0.86","MC"
"Provide Missing Documents","Add certificate of bachelor degree","0.42","HR"
"Mark as not complete","Rejection"" (error): incorrect category assignment; corrected mapping: ""Mark as not complete"" -> ""Send Rejection","0.95","VB"
"Update applicant status","Immatriculate"" (ambiguity): unclear purpose; revised mapping: ""Update applicant status"" -> ""Update applicant information","0.75","MC"
"Apply online","Apply online","1.00","VB"
"Send online protocÃ¤l","Send documents by post","0.42","HR"
"Take aptitude test","Take oral exam","0.73","MC"
"Wait for results","Wait for results","1.00","VB"
"Check documents","Check documents","1.00","VB"
"Invite to an aptitude test","Wait for Bachelor's certificate","0.32","HR"
"Evaluate","Evaluate","1.00","VB"
"Send letter of rejection","Send letter of rejection","1.00","VB"
"Send letter of acceptance","Send letter of acceptance","1.00","VB"
"Apply online","Apply online","1.00","VB"
"Choose courses of studies","Check bachelor's degree","0.95","VB"
"Receive rejection for course of studies","Send letter of rejection","0.92","VB"
"Enrollment","Apply online","0.91","VB"
"Complete online interview","Conduct interview","0.85","MC"
"Upload bachelor's degree / transcript of records / diploma","Check documents","0.82","MC"
"Print out and sign application form","Forward documents","0.79","MC"
"Not take interview","Wait for results","0.58","HR"
"Create transcript of applicant","Evaluate","0.55","HR"
"Not take interview","Wait for results","0.58","MC"
"Create transcript of applicant","Evaluate","0.95","VB"
"Receive application","Check application in time","1.00","VB"
"Make decision","Make decision","1.00","VB"
"Accept application","Send acceptance","0.93","VB"
"Reject application","Send rejection","0.95","VB"
"Immatriculate","Immatriculate","1.00","VB"
"Tak interview","Take interview","0.99","VB"
"Score bachelors grade","Check if bachelors-grade within top 85%","0.75","MC"
"Compare and send application","Send application","0.71","MC"
"Attach additional requirements","Set additional requirements","0.67","MC"
"Create and add CV","Fill out application form","0.40","HR"
"A","Check application in time","1.00","VB"
"B","Send rejection","0.95","VB"
